distance_km,architecture,protocol,alpha,photon_path_km,eta,link_success_probability,end_to_end_fidelity,expected_attempts_analytic,expected_attempts_simulated,expected_seconds_analytic,expected_seconds_simulated
170.0,direct,Single-click,0.2,85.0,0.020991527739557658,0.008378985326349439,0.8,119.3461930116162,119.35285,0.00011934619301161619,0.00011935285000000001
170.0,one-repeater,Single-click,0.2,42.5,0.14488453243724003,0.05711415186531371,0.6533333333333334,26.005843975430878,26.1291,2.600584397543088e-05,2.61291e-05
180.0,direct,Barrett-Kok,,90.0,0.016724022988470442,0.0001398464724594439,1.0,7150.698779978196,7160.2946,0.007150698779978196,0.0071602946
180.0,one-repeater,Barrett-Kok,,45.0,0.12932139416380586,0.008362011494235221,1.0,179.13162652998682,179.03645,0.00017913162652998682,0.00017903645
180.0,direct,Single-click,0.05,90.0,0.016724022988470442,0.001671703066484747,0.95,598.1923584687785,596.3738,0.0005981923584687785,0.0005963737999999999
180.0,one-repeater,Single-click,0.05,45.0,0.12932139416380586,0.01289032935890941,0.9033333333333332,116.11468343258056,115.75775,0.00011611468343258057,0.00011575775000000001
180.0,direct,Single-click,0.1,90.0,0.016724022988470442,0.0033420076682448997,0.9,299.221336175199,298.34035,0.00029922133617519897,0.00029834035
180.0,one-repeater,Single-click,0.1,45.0,0.12932139416380586,0.02569703860287647,0.8133333333333334,58.11923104667891,58.6501,5.811923104667891e-05,5.86501e-05
180.0,direct,Single-click,0.2,90.0,0.016724022988470442,0.006678421477591422,0.8,149.73598227595704,149.03835,0.00014973598227595704,0.00014903835
180.0,one-repeater,Single-click,0.2,45.0,0.12932139416380586,0.05105959674598353,0.6533333333333334,29.120885641831897,29.2158,2.9120885641831897e-05,2.9215800000000002e-05
190.0,direct,Barrett-Kok,,95.0,0.013324087145492417,8.876564913033813e-05,1.0,11265.619187121138,11311.6201,0.011265619187121137,0.0113116201
190.0,one-repeater,Barrett-Kok,,47.5,0.11543000972664091,0.006662043572746208,1.0,224.90530215705644,225.4147,0.00022490530215705644,0.0002254147
190.0,direct,Single-click,0.05,95.0,0.013324087145492417,0.0013319648863035901,0.95,750.7705422889605,750.6976,0.0007507705422889606,0.0007506975999999999
190.0,one-repeater,Single-click,0.05,47.5,0.11543000972664091,0.011509690754800362,0.9033333333333332,130.07351407052062,130.5658,0.0001300735140705206,0.0001305658
190.0,direct,Single-click,0.1,95.0,0.013324087145492417,0.002663042116115877,0.9,375.51039615495404,375.284,0.000375510396154954,0.000375284
190.0,one-repeater,Single-click,0.1,47.5,0.11543000972664091,0.02295276107387326,0.8133333333333334,65.09871238286559,65.61415,6.509871238286558e-05,6.561415e-05
190.0,direct,Single-click,0.2,95.0,0.013324087145492417,0.00532253360626654,0.8,187.88044829301586,187.25145,0.00018788044829301585,0.00018725145
190.0,one-repeater,Single-click,0.2,47.5,0.11543000972664091,0.04563904040483668,0.6533333333333334,32.61076002670664,32.74065,3.2610760026706644e-05,3.274065e-05
200.0,direct,Barrett-Kok,,100.0,0.010615346461976673,5.634279025390034e-05,1.0,17748.49977244027,17806.136,0.017748499772440272,0.017806136
200.0,one-repeater,Barrett-Kok,,50.0,0.10303080346176416,0.005307673230988337,1.0,282.35904617260104,283.04705,0.00028235904617260105,0.00028304705
200.0,direct,Single-click,0.05,100.0,0.010615346461976673,0.001061252932246398,0.95,942.282437687365,947.0457,0.000942282437687365,0.0009470457
200.0,one-repeater,Single-click,0.05,50.0,0.10303080346176416,0.010276541980021476,0.9033333333333332,145.71220536261345,145.64665,0.00014571220536261343,0.00014564664999999999
200.0,direct,Single-click,0.1,100.0,0.010615346461976673,0.002121942436590257,0.9,471.2663184242156,475.26425,0.0004712663184242156,0.00047526425
200.0,one-repeater,Single-click,0.1,50.0,0.10303080346176416,0.020500007227733066,0.8133333333333334,72.91811687079168,73.04215,7.291811687079167e-05,7.304215e-05
